DateTime,Junction,Vehicles,ID,Weather Conditions,Wind Speed (m/s),Wind Direction (°),Road Conditions
2015-11-01 00:00:00,1,15,20151101001,Cloudy,2.8885532327502346,240,Dry
2015-11-01 01:00:00,1,13,20151101011,Foggy,4.681833525742238,147,Wet
2015-11-01 02:00:00,1,10,20151101021,Foggy,7.877029615184315,136,Wet
2015-11-01 03:00:00,1,7,20151101031,Rainy,10.779409600251832,180,Wet
2015-11-01 04:00:00,1,9,20151101041,Sunny,11.593517967114742,209,Dry
2015-11-01 05:00:00,1,6,20151101051,Windy,12.820777121063598,255,Dry
2015-11-01 06:00:00,1,9,20151101061,Foggy,6.453467272871701,267,Wet
2015-11-01 07:00:00,1,8,20151101071,Windy,8.075294724464872,27,Dry
2015-11-01 08:00:00,1,11,20151101081,Snowy,6.670060543664202,98,Snowy/Icy
2015-11-01 09:00:00,1,12,20151101091,Foggy,3.9144885242868095,185,Wet
2015-11-01 10:00:00,1,15,20151101101,Rainy,6.011764231264854,273,Wet
2015-11-01 11:00:00,1,17,20151101111,Windy,11.561415909123395,355,Dry
2015-11-01 12:00:00,1,16,20151101121,Windy,5.778877898956359,101,Dry
2015-11-01 13:00:00,1,15,20151101131,Sunny,13.814534247490132,304,Dry
2015-11-01 14:00:00,1,16,20151101141,Rainy,1.878337293766996,353,Wet
2015-11-01 15:00:00,1,12,20151101151,Windy,9.405473005464708,341,Dry
2015-11-01 16:00:00,1,12,20151101161,Rainy,6.943260025943835,20,Wet
2015-11-01 17:00:00,1,16,20151101171,Snowy,13.049363952986075,203,Snowy/Icy
2015-11-01 18:00:00,1,17,20151101181,Cloudy,8.486504550791198,311,Dry
2015-11-01 19:00:00,1,20,20151101191,Foggy,6.301448122934719,259,Wet
2015-11-01 20:00:00,1,17,20151101201,Snowy,4.259155904105995,146,Snowy/Icy
2015-11-01 21:00:00,1,19,20151101211,Rainy,0.2270748546965112,64,Wet
2015-11-01 22:00:00,1,20,20151101221,Rainy,10.146672517073924,323,Wet
2015-11-01 23:00:00,1,15,20151101231,Rainy,11.232315905277371,141,Wet
2015-11-02 00:00:00,1,14,20151102001,Foggy,13.583444553137983,306,Wet
2015-11-02 01:00:00,1,12,20151102011,Windy,14.157355988250096,41,Dry
2015-11-02 02:00:00,1,14,20151102021,Foggy,13.078985882536282,267,Wet
2015-11-02 03:00:00,1,12,20151102031,Snowy,8.948837053389214,314,Snowy/Icy
2015-11-02 04:00:00,1,12,20151102041,Cloudy,3.522107208647021,55,Dry
2015-11-02 05:00:00,1,11,20151102051,Cloudy,11.796678294486696,283,Dry
2015-11-02 06:00:00,1,13,20151102061,Sunny,14.562897916490796,273,Dry
2015-11-02 07:00:00,1,14,20151102071,Snowy,14.87464230443717,304,Snowy/Icy
2015-11-02 08:00:00,1,12,20151102081,Sunny,0.2051565016244438,5,Dry
2015-11-02 09:00:00,1,22,20151102091,Rainy,2.6290512488026785,318,Wet
2015-11-02 10:00:00,1,32,20151102101,Windy,5.721149359117287,291,Dry
2015-11-02 11:00:00,1,31,20151102111,Foggy,12.595096872709096,225,Wet
2015-11-02 12:00:00,1,35,20151102121,Windy,11.327619567864325,198,Dry
2015-11-02 13:00:00,1,26,20151102131,Cloudy,7.791956191603587,107,Dry
2015-11-02 14:00:00,1,34,20151102141,Cloudy,0.6806348657208644,67,Dry
2015-11-02 15:00:00,1,30,20151102151,Snowy,14.858264072937454,126,Snowy/Icy
2015-11-02 16:00:00,1,27,20151102161,Sunny,11.335792786782664,69,Dry
2015-11-02 17:00:00,1,27,20151102171,Windy,11.128661832830636,86,Dry
2015-11-02 18:00:00,1,24,20151102181,Sunny,13.458760642391193,125,Dry
2015-11-02 19:00:00,1,26,20151102191,Rainy,13.886095343109156,243,Wet
2015-11-02 20:00:00,1,29,20151102201,Sunny,9.452689019321424,351,Dry
2015-11-02 21:00:00,1,32,20151102211,Rainy,4.005018939857901,283,Wet
2015-11-02 22:00:00,1,30,20151102221,Windy,4.286165375962701,298,Dry
2015-11-02 23:00:00,1,27,20151102231,Cloudy,4.596898701632078,40,Dry
2015-11-03 00:00:00,1,21,20151103001,Cloudy,1.848055956429273,215,Dry
2015-11-03 01:00:00,1,18,20151103011,Windy,14.777402819707618,234,Dry
2015-11-03 02:00:00,1,19,20151103021,Windy,5.7943652372381145,244,Dry
2015-11-03 03:00:00,1,13,20151103031,Rainy,10.207604393693543,188,Wet
2015-11-03 04:00:00,1,11,20151103041,Cloudy,0.9948032029302584,98,Dry
2015-11-03 05:00:00,1,11,20151103051,Rainy,0.0731820442937297,5,Wet
2015-11-03 06:00:00,1,11,20151103061,Rainy,9.76117815371892,339,Wet
2015-11-03 07:00:00,1,14,20151103071,Windy,13.64113546738499,137,Dry
2015-11-03 08:00:00,1,15,20151103081,Sunny,9.206445997532317,264,Dry
