Temperature,Precipitation,Humidity
33.54,12.87,40.48
30.74,11.47,38.02
-2.69,29.24,19.59
13.11,28.92,24.2
25.44,1.88,70.07
28.13,12.94,62.05
36.25,5.61,68.15
29.57,38.64,87.19
7.05,31.87,51.45
37.68,36.86,53.22
10.18,17.74,90.26
19.69,11.6,43.63
13.5,42.66,67.41
8.91,40.89,25.33
33.75,25.91,87.34
10.99,10.33,61.99
23.89,16.12,69.52
28.65,10.52,26.89
3.81,28.84,53.98
27.21,48.91,41.24
19.31,48.0,0.37
5.45,30.73,69.37
5.85,32.72,27.7
19.32,7.72,48.26
29.93,14.96,49.57
-7.35,0.63,35.66
33.63,0.41,4.03
36.87,21.25,21.32
17.37,11.47,16.68
7.27,49.52,99.63
-9.97,26.94,6.8
-1.5,1.55,37.33
28.27,16.11,86.88
18.28,21.88,45.03
21.34,47.65,63.36
12.79,6.79,93.25
9.09,43.92,33.65
27.92,25.99,30.54
7.87,11.0,43.47
6.15,41.37,17.98
10.32,19.31,61.88
7.74,11.72,71.73
0.53,6.65,62.44
38.46,20.96,6.11
37.76,4.17,2.16
14.56,2.72,56.33
31.12,9.75,88.42
28.03,38.85,90.53
32.25,11.46,23.83
18.72,0.24,75.77
23.08,49.57,92.4
-2.34,7.26,26.65
-2.2,23.98,48.44
-9.04,15.27,21.48
26.8,6.11,54.51
34.16,26.35,90.33
9.07,16.82,85.89
5.6,47.8,95.54
26.86,7.02,90.73
-2.51,33.79,3.38
39.14,33.88,29.76
34.17,13.44,56.29
-1.16,17.96,66.32
-1.1,32.77,8.35
18.05,36.16,92.79
33.82,4.26,93.78
9.15,16.52,32.36
39.27,35.49,27.46
-0.32,35.16,46.46
24.52,18.51,19.45
38.17,24.9,96.03
33.27,22.92,11.63
30.54,2.43,8.38
15.41,42.03,45.55
13.11,47.51,74.3
22.36,24.96,79.68
21.83,23.79,91.11
-2.46,49.27,90.56
-2.62,20.49,33.86
14.18,44.08,32.87
19.38,21.45,36.02
15.79,1.48,15.99
20.2,3.82,56.11
27.61,12.29,94.81
-4.01,45.78,22.8
18.76,15.15,2.25
28.31,20.8,40.58
13.45,28.66,34.61
-5.29,48.46,76.36
-3.74,10.05,87.73
-4.15,20.84,76.11
17.26,23.44,56.94
17.55,0.14,50.65
6.55,10.16,2.84
28.02,29.13,4.67
-2.63,6.74,99.24
38.52,44.71,91.79
6.65,10.01,84.48
38.69,19.66,53.87
27.17,34.12,97.35
37.6,40.93,17.96
-8.05,15.02,7.39
13.82,47.33,40.96
21.36,38.04,93.51
-0.31,17.26,17.59
35.54,8.8,63.55
3.21,18.01,21.3
-9.08,7.1,90.97
26.5,49.86,43.96
28.43,33.81,12.96
7.86,15.58,27.08
2.3,33.39,26.94
14.09,40.57,2.74
39.71,16.23,36.7
-6.24,38.84,62.38
12.78,36.51,20.16
37.86,13.15,59.81
6.04,2.34,56.81
17.06,18.05,19.32
36.57,25.76,4.74
-0.42,7.85,34.35
33.48,47.84,33.52
-6.34,9.39,47.0
20.72,40.73,23.99
14.76,40.49,65.18
15.87,16.38,70.64
20.55,15.1,35.55
35.52,37.33,34.57
-0.4,14.34,23.54
1.01,30.28,35.89
21.85,2.02,21.16
27.92,15.33,87.94
26.37,48.02,93.57
-9.39,41.64,70.33
1.74,29.81,48.66
9.87,3.68,48.47
-9.46,47.97,8.92
3.21,36.98,55.57
33.37,42.41,19.28
17.97,16.93,42.6
10.51,49.82,98.43
21.01,31.17,27.5
34.54,12.16,22.52
35.7,25.46,69.85
32.81,17.99,74.46
-4.73,37.46,29.88
9.22,35.44,70.69
-7.07,10.36,2.56
14.01,41.66,51.88
22.72,33.64,88.73
9.23,27.85,77.29
33.1,9.93,97.28
-9.96,24.95,27.22
9.67,35.13,40.9
0.28,25.37,59.34
21.65,22.84,83.27
23.2,17.62,42.59
8.31,49.69,86.09
-6.56,23.57,22.52
22.54,48.7,50.09
22.02,22.58,53.64
25.87,5.77,38.55
16.14,9.75,79.62
38.57,0.4,92.26
-6.05,46.38,31.92
-9.32,42.28,96.67
20.38,15.0,20.43
38.05,10.27,26.06
-4.25,6.1,87.15
20.78,45.63,85.8
10.26,31.03,49.4
30.49,4.57,18.51
4.54,49.27,70.18
8.48,25.96,29.13
2.61,0.06,90.34
-0.59,40.13,89.31
23.46,12.71,48.99
20.46,32.35,20.37
-0.57,49.8,0.46
35.5,47.22,1.21
18.11,48.26,42.45
29.36,1.66,93.98
36.26,17.37,57.45
19.17,30.18,61.2
-3.54,20.45,57.85
