DateTime,Junction,Vehicles,ID,Temperature,Precipitation,Humidity
01-11-2015 00:00,1,15,20151101001,4.82,42.19,44.66
01-11-2015 01:00,1,13,20151101011,-8.3,34.44,19.8
01-11-2015 02:00,1,10,20151101021,-8.76,2.65,79.06
01-11-2015 03:00,1,7,20151101031,30.62,12.09,5.03
01-11-2015 04:00,1,9,20151101041,-8.89,11.93,20.83
01-11-2015 05:00,1,6,20151101051,-8.1,12.56,62.92
01-11-2015 06:00,1,9,20151101061,30.76,29.33,13.42
01-11-2015 07:00,1,8,20151101071,26.15,35.29,85.26
01-11-2015 08:00,1,11,20151101081,24.0,19.2,53.91
01-11-2015 09:00,1,12,20151101091,2.29,27.5,85.22
01-11-2015 10:00,1,15,20151101101,6.31,8.55,3.43
01-11-2015 11:00,1,17,20151101111,37.11,28.6,70.26
01-11-2015 12:00,1,16,20151101121,34.79,4.89,70.39
01-11-2015 13:00,1,15,20151101131,10.96,6.92,85.52
01-11-2015 14:00,1,16,20151101141,28.18,6.06,55.73
01-11-2015 15:00,1,12,20151101151,4.33,39.62,63.97
01-11-2015 16:00,1,12,20151101161,16.64,19.4,65.74
01-11-2015 17:00,1,16,20151101171,21.35,9.19,26.78
01-11-2015 18:00,1,17,20151101181,38.41,40.86,81.57
01-11-2015 19:00,1,20,20151101191,27.94,12.95,81.46
01-11-2015 20:00,1,17,20151101201,26.75,19.51,95.94
01-11-2015 21:00,1,19,20151101211,0.81,22.87,6.65
01-11-2015 22:00,1,20,20151101221,34.48,18.7,33.22
01-11-2015 23:00,1,15,20151101231,-6.14,34.33,70.2
02-11-2015 00:00,1,14,20151102001,26.71,37.83,74.74
02-11-2015 01:00,1,12,20151102011,19.59,3.11,20.01
02-11-2015 02:00,1,14,20151102021,39.47,47.42,16.51
02-11-2015 03:00,1,12,20151102031,2.86,30.11,67.91
02-11-2015 04:00,1,12,20151102041,32.93,22.53,19.54
02-11-2015 05:00,1,11,20151102051,14.09,35.53,86.85
02-11-2015 06:00,1,13,20151102061,-2.59,9.56,49.07
02-11-2015 07:00,1,14,20151102071,23.76,42.9,76.7
02-11-2015 08:00,1,12,20151102081,10.64,9.0,87.69
02-11-2015 09:00,1,22,20151102091,17.45,40.51,27.27
02-11-2015 10:00,1,32,20151102101,21.97,10.85,61.72
02-11-2015 11:00,1,31,20151102111,36.65,7.65,79.05
02-11-2015 12:00,1,35,20151102121,15.54,32.46,15.39
02-11-2015 13:00,1,26,20151102131,-3.88,39.65,56.15
02-11-2015 14:00,1,34,20151102141,16.6,38.35,48.6
02-11-2015 15:00,1,30,20151102151,7.52,48.96,17.97
02-11-2015 16:00,1,27,20151102161,-8.38,49.49,26.83
02-11-2015 17:00,1,27,20151102171,9.3,18.89,35.31
02-11-2015 18:00,1,24,20151102181,22.22,35.73,17.28
02-11-2015 19:00,1,26,20151102191,35.77,6.99,56.37
